pathology,support,prevalence
infiltration,13914,0.17732069123719224
effusion,9261,0.1180226334301881
atelectasis,7996,0.10190141204057705
nodule,4375,0.0557552123158485
mass,3988,0.05082326553499516
pneumothorax,3705,0.04721669980119284
consolidation,3263,0.041583830351225974
pleural_thickening,2279,0.029043686598358567
cardiomegaly,1950,0.02485089463220676
emphysema,1799,0.022926543304276903
edema,1690,0.021537442014579192
fibrosis,1158,0.014757608196972014
pneumonia,978,0.01246367946169139
hernia,144,0.001835142988224499
